CODIGO;Renda_Media
1100205;1190.53
1302603;1008.97
1506807;539.39
1721000;1526.37
2211001;1269.84
2303709;301.61
2304400;1363.18
2307304;466.98
2403251;1206.24
2408003;753.38
2507507;1585.21
2604106;609.34
2607901;624.57
2609600;845.63
2611606;2051.89
2910800;736.09
2927408;1509.67
3106200;2803.09
3118601;985.58
3127701;1037.19
3131307;1062.72
3136702;1701.17
3154606;328.6
3170107;1503.39
3170206;1663.36
3201308;541.33
3300456;379.62
3301009;1095.96
3303302;4186.51
3304904;637.75
3306305;1390.47
3505708;3101.77
3509502;2662.73
3510609;876.54
3518800;1145.65
3530607;1536.2
3534401;1839.79
3547809;2347.88
3548708;2003.72
3548906;1891.65
3549904;1969.08
3550308;3387.37
3551009;939.76
3552403;1046.97
3552502;937.87
3552809;1064.78
4106902;3241.36
4108304;1428.4
4113700;2009.28
4115200;2114.33
4202404;2101.74
4205407;3998.3
4304606;1640.51
4305108;1996.67
4309209;976.63
4314407;1485.5
4314902;3725.15
4316907;2182.7
5002704;1857.1
5103403;2360.17
5201108;1050.17
5201405;559.1
5208707;2113.11
5300108;2981.04
